 ,CALANDER,CAMERA,CONTACTS,LOCATION,MICROPHONE,PHONE,SENSOR,SMS,STORAGE,OTHERS,TOTAL 
133,0,0,0,0,0,0,0,0,0,1,1
134,0,0,0,0,0,0,0,0,0,1,1
135,0,0,0,0,0,0,0,0,0,1,1
136,0,0,0,0,0,1,0,0,1,0,2
137,0,0,1,0,0,0,0,0,1,0,2
138,0,0,0,0,0,1,0,0,0,0,1
139,0,0,0,0,0,0,0,0,0,1,1
140,0,0,1,1,0,0,0,0,1,0,3
141,0,0,0,0,0,0,0,0,0,1,1
142,0,0,0,0,0,0,0,0,0,1,1
143,0,0,0,0,0,0,0,0,1,0,1
144,0,0,0,0,0,1,0,0,0,0,1
145,0,0,0,0,0,0,0,0,0,1,1
146,0,0,1,0,0,0,0,0,1,0,2
147,1,0,1,1,0,1,0,0,1,0,5
148,0,1,0,0,0,0,0,0,1,0,2
149,0,0,0,1,0,0,0,0,0,0,1
150,0,0,0,1,0,0,0,0,0,0,1
151,0,0,0,1,0,0,0,0,0,0,1
152,0,0,0,0,0,0,0,0,0,1,1
153,0,0,0,1,0,1,0,0,1,0,3
154,0,0,0,0,0,1,0,0,1,0,2
155,0,0,0,1,0,1,0,0,0,0,2
156,0,0,0,0,0,1,0,0,1,0,2
157,0,0,0,0,0,0,0,0,0,1,1
158,0,0,1,0,1,1,0,1,1,0,5
159,0,0,0,0,0,1,0,0,1,0,2
160,0,1,0,0,1,1,0,0,1,0,4
161,0,0,0,0,0,0,0,0,1,0,1
162,0,0,0,1,0,1,0,0,1,0,3
163,0,0,1,1,0,1,0,0,0,0,3
164,0,0,1,0,0,0,0,0,1,0,2
165,0,0,0,0,0,1,0,0,1,0,2
166,0,0,0,0,0,0,0,0,1,0,1
167,0,0,1,1,0,1,0,0,1,0,4
168,0,0,0,0,0,0,0,0,1,0,1
169,0,0,0,1,0,1,0,0,1,0,3
170,0,0,0,0,0,1,0,0,0,0,1
171,0,0,0,0,0,0,0,0,0,1,1
172,0,0,0,1,0,0,0,0,0,0,1
173,0,0,0,1,0,0,0,0,0,0,1
174,0,0,1,0,0,0,0,0,0,0,1
175,0,1,1,1,1,1,0,0,1,0,6
176,0,0,0,0,0,0,0,0,1,0,1
177,0,0,0,0,0,0,0,0,0,1,1
178,0,0,0,1,0,1,0,0,1,0,3
179,0,0,0,1,0,1,0,0,1,0,3
180,0,0,0,1,0,1,0,0,1,0,3
181,0,0,0,0,0,1,0,0,1,0,2
182,0,0,0,0,0,0,0,0,0,1,1
183,0,0,1,0,0,0,0,0,0,0,1
184,0,1,1,1,0,1,0,1,1,0,6
185,0,1,1,1,0,1,0,1,1,0,6
186,0,1,1,1,0,1,0,1,1,0,6
187,0,0,1,1,1,1,0,1,1,0,6
188,0,0,1,1,0,1,0,0,1,0,4
189,0,1,0,1,1,1,0,0,1,0,5
190,0,0,0,0,0,0,0,0,0,1,1
191,0,0,1,1,0,1,0,0,1,0,4
192,0,0,0,0,0,0,0,0,0,1,1
193,0,0,1,1,0,1,0,0,1,0,4
194,0,0,0,0,0,0,0,0,1,0,1
195,0,0,0,0,0,1,0,0,1,0,2
196,1,0,0,0,0,1,0,0,1,0,3
197,0,0,1,0,0,1,0,0,1,0,3
198,0,0,0,1,0,1,0,0,1,0,3
199,0,0,0,1,0,1,0,0,1,0,3
200,0,0,0,0,0,0,0,0,1,0,1
201,0,0,1,1,0,1,0,0,0,0,3
202,0,0,0,0,0,0,0,0,1,0,1
203,0,0,1,0,0,0,0,0,0,0,1
204,0,1,0,0,0,1,0,0,0,0,2
205,0,0,0,0,0,0,0,0,1,0,1
206,0,0,0,0,0,0,0,0,0,1,1
207,0,0,0,0,0,0,0,0,0,1,1
208,0,0,0,1,0,1,0,0,1,0,3
209,0,0,0,0,0,1,0,0,0,0,1
210,0,1,0,0,0,0,0,0,1,0,2
211,0,0,0,0,0,0,0,0,0,1,1
212,0,1,0,0,0,0,0,0,1,0,2
213,0,0,0,0,0,0,0,0,0,1,1
214,0,0,0,0,0,1,0,0,1,0,2
215,0,0,0,0,0,1,0,0,0,0,1
216,0,0,0,0,0,0,0,0,0,1,1
217,0,0,0,1,0,1,0,0,0,0,2
218,0,1,0,1,1,0,0,0,1,0,4
219,0,0,0,0,0,0,0,0,1,0,1
220,0,0,0,1,0,1,0,0,0,0,2
221,0,0,0,0,0,0,0,0,0,1,1
222,0,0,1,0,0,0,0,0,1,0,2
223,0,0,0,0,0,0,0,0,0,1,1
224,0,0,0,0,0,0,0,0,0,1,1
225,0,0,0,0,0,0,0,0,0,1,1
226,0,0,0,0,0,0,0,0,0,1,1
227,0,0,0,0,0,0,0,0,1,0,1
228,0,0,0,0,0,0,0,0,1,0,1
229,0,0,0,1,0,0,0,0,0,0,1
230,0,0,0,1,0,0,0,0,0,0,1
231,0,0,0,1,0,0,0,0,0,0,1
232,0,0,0,1,0,0,0,0,0,0,1
233,0,0,0,1,0,0,0,0,1,0,2
234,0,0,0,0,0,0,0,0,0,1,1
235,0,0,0,0,0,0,0,0,0,1,1
236,0,0,1,1,0,1,0,0,1,0,4
237,0,0,0,0,0,1,0,0,1,0,2
238,0,0,0,1,0,1,0,0,1,0,3
239,0,0,0,0,0,0,0,0,0,1,1
240,0,0,0,0,0,0,0,0,0,1,1
241,0,0,1,1,0,0,0,0,1,0,3
242,0,0,1,1,0,0,0,0,1,0,3
243,0,0,0,0,0,1,0,0,1,0,2
244,0,0,0,0,0,0,0,0,0,1,1
245,0,0,0,0,0,0,0,0,0,1,1
246,0,0,0,0,0,0,0,0,0,1,1
247,0,0,1,1,0,1,0,0,0,0,3
248,0,0,0,0,0,1,0,0,1,0,2
249,0,0,0,0,0,0,0,0,0,1,1
250,0,0,0,0,0,0,0,0,0,1,1
251,0,0,0,0,0,0,0,0,0,1,1
252,0,0,0,0,0,0,0,0,1,0,1
253,0,0,1,1,0,1,0,0,0,0,3
254,0,0,0,0,0,0,0,0,0,1,1
255,0,0,1,1,0,1,0,0,1,0,4
256,0,0,0,0,0,0,0,0,1,0,1
257,0,0,0,0,0,0,0,0,0,1,1
258,0,0,1,1,0,0,0,0,1,0,3
259,0,0,0,0,0,1,0,0,1,0,2
260,0,0,1,1,0,1,0,0,1,0,4
261,0,0,0,0,0,1,0,0,1,0,2
262,0,0,0,0,0,0,0,0,1,0,1
263,0,0,0,0,0,0,0,0,0,1,1
264,0,0,0,0,0,0,0,0,0,1,1
265,0,0,0,0,0,0,0,0,0,1,1
266,0,0,0,0,0,0,0,0,0,1,1
267,0,0,0,0,0,0,0,0,0,1,1
268,0,0,0,0,0,0,0,0,1,0,1
269,0,0,0,0,0,0,0,0,0,1,1
270,0,1,0,0,0,0,0,0,0,0,1
271,0,0,0,0,0,0,0,0,0,1,1
272,0,0,0,0,0,1,0,0,1,0,2
273,0,0,0,0,0,0,0,0,0,1,1
274,0,0,0,0,0,1,0,0,1,0,2
275,0,0,1,1,0,1,0,1,1,0,5
276,0,0,0,0,0,0,0,0,1,0,1
277,0,0,0,0,0,0,0,0,0,1,1
278,0,0,0,0,0,0,0,0,1,0,1
279,0,0,1,0,0,1,0,0,0,0,2
280,0,0,1,0,0,1,0,0,0,0,2
281,0,0,0,0,0,0,0,0,1,0,1
282,0,0,0,0,0,0,0,0,0,1,1
283,0,0,0,0,0,1,0,0,1,0,2
284,0,0,0,0,0,0,0,0,1,0,1
285,0,0,0,0,0,0,0,0,0,1,1
286,0,0,0,0,0,0,0,0,0,1,1
287,0,0,0,0,0,0,0,0,1,0,1
289,0,0,0,0,0,0,0,0,1,0,1
290,0,0,0,1,0,1,0,0,0,0,2
291,0,0,0,0,0,0,0,0,1,0,1
292,0,0,0,0,0,0,0,0,0,1,1
293,0,0,0,0,0,1,0,0,1,0,2
294,0,0,0,0,0,0,0,0,1,0,1
295,0,0,1,1,0,0,0,0,1,0,3
296,0,0,0,0,0,0,0,0,1,0,1
297,0,0,0,0,0,0,0,0,1,0,1
298,0,0,0,0,0,1,0,0,1,0,2
299,0,0,0,0,0,0,0,0,1,0,1
300,0,0,0,0,0,1,0,0,0,0,1
301,0,0,0,0,0,0,0,0,0,1,1
302,0,0,0,0,0,0,0,0,0,1,1
303,0,0,1,1,0,1,0,0,1,0,4
304,0,0,0,0,1,1,0,0,0,0,2
305,0,0,0,0,0,0,0,0,0,1,1
306,0,0,1,1,0,1,0,0,0,0,3
307,0,0,1,0,0,0,0,0,1,0,2
308,1,0,0,1,0,0,0,0,1,0,3
309,0,0,0,0,0,0,0,0,0,1,1
310,0,0,0,1,0,1,0,0,1,0,3
311,0,0,0,0,0,1,0,0,1,0,2
312,0,0,0,0,0,0,0,0,0,1,1
313,0,0,0,0,0,0,0,0,1,0,1
314,0,0,0,0,0,0,0,0,1,0,1
315,0,0,0,0,0,0,0,0,0,1,1
316,0,0,0,0,0,0,0,0,0,1,1
317,0,0,0,0,0,0,0,0,0,1,1
318,0,0,0,0,0,0,0,0,1,0,1
319,0,0,0,0,0,1,0,0,1,0,2
320,0,0,0,0,0,0,0,0,1,0,1
321,0,0,0,0,0,1,0,0,1,0,2
322,0,0,0,0,0,0,0,0,0,1,1
323,0,0,0,0,0,0,0,0,0,1,1
324,0,0,0,1,0,0,0,0,1,0,2
325,0,0,0,1,0,1,0,0,1,0,3
326,0,0,1,1,0,1,0,0,1,0,4
327,0,0,0,0,0,0,0,0,1,0,1
328,0,0,1,0,0,1,0,0,1,0,3
